Firm Name,name,Cluster ID,Match Confidence
bgn energy,bgn energy,158,1.0
mitsui & co energy trading singapore (mets),mitsui co energy trading singapore mets ,159,1.0
equatorial marine fuel management services,equatorial marine fuel management services,160,1.0
ed&f man capital markets (singapore) pte. ltd.,ed f man capital markets singapore   ,20,0.5993574261665344
trafigura,trafigura,0,0.6866288185119629
olam international,olam international,161,1.0
icici bank singapore branch,icici bank singapore branch,162,1.0
trafigura pte ltd,trafigura  ,0,0.5983730554580688
trafigura,trafigura,0,0.6866288185119629
bw energy holdings pte ltd,bw energy holdings  ,163,1.0
hsbc singapore entities,hsbc singapore entities,164,1.0
glory bulk carriers pte ltd,glory bulk carriers  ,165,1.0
tcc group / tai chong cheang shipping (singapore) pte ltd.,tcc group tai chong cheang shipping singapore   ,166,1.0
louis dreyfus company asia pte. ltd. / ldc in singapore,louis dreyfus company asia   ldc in singapore,4,0.6165777444839478
shell singapore pte. ltd,shell singapore  ,13,0.6877291798591614
shell eastern trading (pte) ltd,shell eastern trading  ,12,0.694503128528595
trafigura pte ltd,trafigura  ,0,0.5983730554580688
ocean network express pte. ltd.,ocean network express   ,167,1.0
sumifru singapore pte ltd,sumifru singapore  ,21,0.7175461649894714
sinopec international (singapore) pte ltd,sinopec international singapore  ,168,1.0
sumifru singapore pte ltd,sumifru singapore  ,21,0.7175461649894714
jsw international tradecorp pte ltd (jsw),jsw international tradecorp   jsw ,169,1.0
st telemedia global data centres (telemedia global data centres),st telemedia global data centres telemedia global data centres ,170,1.0
bts tankers pte ltd,bts tankers  ,171,1.0
dbs bank,dbs bank,22,0.5146353840827942
united overseas bank (uob),united overseas bank uob ,23,0.7175461649894714
oversea-chinese banking corporation (ocbc),oversea chinese banking corporation ocbc ,24,0.7175461649894714
metro holdings limited,metro holdings ,172,1.0
razer,razer,173,1.0
first resources limited,first resources ,15,0.7175461649894714
first sponsor group limited,first sponsor group ,174,1.0
dbs,dbs,22,0.6029112339019775
united overseas bank (uob),united overseas bank uob ,23,0.7175461649894714
straits bunkering pte ltd,straits bunkering  ,17,0.6908657550811768
avani resources pte. ltd,avani resources  ,175,1.0
alvari pte. ltd.,alvari   ,176,1.0
bafco singapore pte. ltd,bafco singapore  ,177,1.0
the singapore medical council (smc),the singapore medical council smc ,178,1.0
basf intertrade ag singapore branch,basf intertrade ag singapore branch,179,1.0
fti consulting (singapore) pte. ltd.,fti consulting singapore   ,180,1.0
oversea-chinese banking corporation (ocbc),oversea chinese banking corporation ocbc ,24,0.7175461649894714
boustead projects limited,boustead projects ,181,1.0
thomson medical group (tmg),thomson medical group tmg ,182,1.0
ocbc bank (oversea-chinese banking corporation limited),ocbc bank oversea chinese banking corporation  ,183,1.0
winson oil trading pte ltd,winson oil trading  ,25,0.7175461649894714
winson oil trading pte ltd,winson oil trading  ,25,0.7175461649894714
louis dreyfus company asia pte. ltd.,louis dreyfus company asia   ,4,0.6551765203475952
standard chartered bank (singapore) limited (scb),standard chartered bank singapore  scb ,26,0.6584954261779785
halcyon agri corporation limited,halcyon agri corporation ,184,1.0
seraya energy,seraya energy,185,1.0
kpmg,kpmg,186,1.0
mizuho bank,mizuho bank,187,1.0
perennial real estate holdings,perennial real estate holdings,188,1.0
ho lee construction,ho lee construction,189,1.0
westbridge ventures ii investment holdings,westbridge ventures ii investment holdings,190,1.0
standard chartered bank (singapore) limited (scb),standard chartered bank singapore  scb ,26,0.6584954261779785
atlantic navigation holdings (singapore) limited,atlantic navigation holdings singapore ,191,1.0
royal global exports pte ltd,royal global exports  ,192,1.0
louis dreyfus asia pte ltd / louis dreyfus company asia pte. ltd.,louis dreyfus asia   louis dreyfus company asia   ,193,1.0
marina offshore pte ltd,marina offshore  ,194,1.0
maybank singapore (maybank singapore limited),maybank singapore maybank singapore  ,195,1.0
petrochina international (singapore) pte. ltd,petrochina international singapore  ,196,1.0
pricewaterhousecoopers (pwc singapore),pricewaterhousecoopers pwc singapore ,197,1.0
gtp advisory (gtp advisory pac),gtp advisory gtp advisory pac ,198,1.0
gp global apac pte. ltd.,gp global apac   ,199,1.0
ms first capital insurance (limited),ms first capital insurance  ,27,0.6987707018852234
united overseas bank (uob),united overseas bank uob ,23,0.7175461649894714
unipec singapore pte. ltd.,unipec singapore   ,18,0.6946758031845093
grabtaxi holdings pte ltd,grabtaxi holdings  ,200,1.0
winson oil trading pte ltd,winson oil trading  ,25,0.7175461649894714
cye,cye,201,1.0
argoglobal underwriting asia pacific pte ltd,argoglobal underwriting asia pacific  ,202,1.0
china taiping insurance (singapore) pte ltd,china taiping insurance singapore  ,203,1.0
great american insurance company,great american insurance company,204,1.0
ms first capital insurance limited,ms first capital insurance ,27,0.6987707018852234
qbe insurance (singapore) pte ltd,qbe insurance singapore  ,205,1.0
maersk tankers singapore,maersk tankers singapore,206,1.0
ing,ing,207,1.0
société générale,soci t g n rale,208,1.0
bnp paribas,bnp paribas,209,1.0
rabobank,rabobank,210,1.0
standard chartered,standard chartered,26,0.6082467436790466
dbs,dbs,22,0.6029112339019775
ocbc,ocbc,211,1.0
uob,uob,212,1.0
mufg,mufg,213,1.0
smbc,smbc,214,1.0
crédit agricole,cr dit agricole,215,1.0
hsbc,hsbc,216,1.0
natixis,natixis,217,1.0
"bank of china, singapore branch",bank of china singapore branch,218,1.0
"china construction bank, singapore branch",china construction bank singapore branch,219,1.0
"icbc, singapore branch",icbc singapore branch,220,1.0
"agricultural bank of china, singapore branch",agricultural bank of china singapore branch,221,1.0
"shanghai pudong development bank (spdb), singapore branch",shanghai pudong development bank spdb singapore branch,222,1.0
"mufg bank, singapore branch",mufg bank singapore branch,223,1.0
"macquarie bank, singapore branch",macquarie bank singapore branch,224,1.0
"commonwealth bank of australia (cba), singapore branch",commonwealth bank of australia cba singapore branch,225,1.0
"anz bank, singapore branch",anz bank singapore branch,226,1.0
"westpac banking corporation, singapore branch",westpac banking corporation singapore branch,227,1.0
"national australia bank (nab), singapore branch",national australia bank nab singapore branch,228,1.0
"cimb bank berhad, singapore branch",cimb bank berhad singapore branch,229,1.0
"maybank singapore ltd / malayan banking berhad, singapore branch",maybank singapore  malayan banking berhad singapore branch,230,1.0
"rhb bank berhad, singapore branch",rhb bank berhad singapore branch,231,1.0
"bank of east asia (bea), singapore branch",bank of east asia bea singapore branch,232,1.0
"state bank of india, singapore branch",state bank of india singapore branch,233,1.0
"dz bank ag, singapore branch",dz bank ag singapore branch,234,1.0
"deutsche bank ag, singapore branch",deutsche bank ag singapore branch,235,1.0
"commerzbank ag, singapore branch",commerzbank ag singapore branch,236,1.0
"citibank n.a. / citi, singapore branch",citibank n a citi singapore branch,237,1.0
"goldman sachs, singapore branch",goldman sachs singapore branch,238,1.0
"jpmorgan chase bank, singapore branch",jpmorgan chase bank singapore branch,239,1.0
"bbva, singapore branch",bbva singapore branch,240,1.0
"bank of america, singapore branch",bank of america singapore branch,241,1.0
ossiano,ossiano,242,1.0
copap,copap,243,1.0
tradeflow capital,tradeflow capital,244,1.0
mercore,mercore,245,1.0
audentia,audentia,246,1.0
ed&f man capital,ed f man capital,20,0.5993574261665344
czarnikow,czarnikow,247,1.0
sucden financial,sucden financial,248,1.0
drip capital,drip capital,249,1.0
incomlend pte. ltd.,incomlend   ,250,1.0
gxs capital pte. ltd. (f.k.a. validus capital),gxs capital   f k a validus capital ,251,1.0
fs capital pte. ltd. (funding societies),fs capital   funding societies ,252,1.0
ifs capital ltd,ifs capital ,253,1.0
straits financial services pte. ltd.,straits financial services   ,254,1.0
