Firm Name,name
drip capital,drip capital
incomlend pte. ltd.,incomlend   
gxs capital pte. ltd. (f.k.a. validus capital),gxs capital   f k a validus capital 
fs capital pte. ltd. (funding societies),fs capital   funding societies 
ifs capital ltd,ifs capital 
straits financial services pte. ltd.,straits financial services   
gb helios pte. ltd. (f.k.a. goldbell financial services),gb helios   f k a goldbell financial services 
nomura securities (singapore) pte. ltd.,nomura securities singapore   
adm capital,adm capital
hong leong finance ltd,hong leong finance 
eastvine capital pte ltd,eastvine capital  
sing investments & finance ltd,sing investments finance 
zma smart capital pte. ltd.,zma smart capital   
mufg trading (singapore) pte. ltd.,mufg trading singapore   
orix leasing singapore ltd,orix leasing singapore 
capital match platform pte. ltd.,capital match platform   
seatown holdings pte. ltd.,seatown holdings   
modifi asia pte. ltd.,modifi asia   
stonex financial pte. ltd.,stonex financial   
horizon capital ag (singapore rep),horizon capital ag singapore rep 
hartree partners singapore pte. ltd,hartree partners singapore  
traxys singapore pte. ltd.,traxys singapore   
freepoint commodities singapore pte. ltd.,freepoint commodities singapore   
trafigura,trafigura
glencore,glencore
gunvor,gunvor
vitol,vitol
marubeni,marubeni
trafigura,trafigura
glencore,glencore
seatrium,seatrium
agrocorp international,agrocorp international
trafigura,trafigura
wilmar international ltd,wilmar international 
louis dreyfus company,louis dreyfus company
rio tinto,rio tinto
wilmar international,wilmar international
musim mas group,musim mas group
cargill,cargill
sinar mas group,sinar mas group
barramundi group,barramundi group
trafigura,trafigura
gunvor,gunvor
cofco international,cofco international
bunge,bunge
six one commodities,six one commodities
mercuria,mercuria
vitol group,vitol group
trafigura,trafigura
mercuria energy group,mercuria energy group
gunvor group,gunvor group
vale,vale
rio tinto,rio tinto
wilmar international,wilmar international
cofco international,cofco international
olam food ingredients,olam food ingredients
louis dreyfus,louis dreyfus
vitol group,vitol group
trafigura,trafigura
mercuria energy group,mercuria energy group
gunvor group,gunvor group
cofco international,cofco international
vitol group,vitol group
glencore,glencore
gunvor group,gunvor group
olam agri / olam group,olam agri olam group
sinar mas group,sinar mas group
trafigura,trafigura
gunvor group,gunvor group
vitol group,vitol group
cofco international,cofco international
unipec singapore,unipec singapore
trafigura group pte ltd,trafigura group  
trafigura,trafigura
trafigura beheer bv / trafigura group pte ltd,trafigura beheer bv trafigura group  
mercuria energy trading,mercuria energy trading
the daily cut pte ltd,the daily cut  
new & novel engineering pte ltd,new novel engineering  
vyas engineering pte ltd,vyas engineering  
the prax group,the prax group
